lat;lon;infos
48.8178094;2.270544;{"type":"node","id":12556987274,"timestamp":"2025-02-04T18:37:43Z","version":1,"changeset":162137783,"user":"Pookave","uid":8812435,"tags":{"man_made":"surveillance","surveillance:type":"camera"}}
48.8273169;2.2792866;{"type":"node","id":1215369091,"timestamp":"2011-03-23T21:13:29Z","version":1,"changeset":7650417,"user":"osmmaker","uid":210173,"tags":{"man_made":"surveillance"}}
48.8205117;2.2848207;{"type":"node","id":617908944,"timestamp":"2013-11-18T23:45:24Z","version":3,"changeset":18985471,"user":"cquest","uid":158826,"tags":{"man_made":"surveillance"}}
48.8209748;2.285831;{"type":"node","id":617908948,"timestamp":"2013-11-18T23:45:25Z","version":3,"changeset":18985471,"user":"cquest","uid":158826,"tags":{"man_made":"surveillance"}}
48.8199324;2.2838902;{"type":"node","id":617910476,"timestamp":"2021-08-19T10:16:31Z","version":3,"changeset":109923652,"user":"DSKA","uid":1893729,"tags":{"man_made":"surveillance"}}
48.8203138;2.2859556;{"type":"node","id":8752375490,"timestamp":"2021-05-21T08:53:29Z","version":1,"changeset":105076282,"user":"riton22","uid":13373087,"tags":{"camera:direction":"360","camera:mount":"pole","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street"}}
48.8202976;2.2910435;{"type":"node","id":8752375492,"timestamp":"2021-05-21T08:53:29Z","version":1,"changeset":105076282,"user":"riton22","uid":13373087,"tags":{"camera:direction":"360","camera:mount":"street_lamp","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street"}}
48.8204926;2.290925;{"type":"node","id":12053137962,"timestamp":"2024-07-14T14:51:47Z","version":1,"changeset":153933263,"user":"Eliepse","uid":4829710,"tags":{"man_made":"surveillance","surveillance:type":"camera"}}
48.822045;2.285124;{"type":"node","id":8752375491,"timestamp":"2021-05-21T08:53:29Z","version":1,"changeset":105076282,"user":"riton22","uid":13373087,"tags":{"camera:direction":"360","camera:mount":"pole","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street"}}
48.8272919;2.2920758;{"type":"node","id":8752406922,"timestamp":"2021-05-21T09:02:31Z","version":1,"changeset":105076864,"user":"riton22","uid":13373087,"tags":{"camera:direction":"360","camera:mount":"street_lamp","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street"}}
