lat;lon;infos
48.8157503;2.3685477;{"id":"12000428778","man_made":"surveillance","surveillance:type":"camera","timestamp":"2024-06-22T09:54:31Z","userid":"cartoleo","version":"1"}
48.8158155;2.4132687;{"id":"9875988401","camera:type":"fixed","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","survey:date":"2022-06","timestamp":"2024-02-25T13:48:15Z","userid":"sepek-me","version":"3"}
48.8158187;2.3134813;{"id":"6668086541","camera:direction":"200","camera:mount":"wall","camera:type":"fixed","man_made":"surveillance","operator":"Police nationale","surveillance":"outdoor","surveillance:type":"camera","surveillance:zone":"building","timestamp":"2019-08-17T16:05:05Z","userid":"overflorian","version":"2"}
48.8158401;2.3113693;{"id":"6652984056","camera:direction":"45","camera:mount":"pole","camera:type":"fixed","check_date":"2024-03-15","man_made":"surveillance","operator":"Mairie de Montrouge","operator:type":"government","surveillance":"public","surveillance:type":"camera","timestamp":"2024-03-15T15:52:53Z","userid":"Crampi","version":"3"}
48.8158742;2.3466036;{"id":"5320764736","camera:mount":"wall","camera:type":"dome","man_made":"surveillance","surveillance":"outdoor","surveillance:type":"camera","timestamp":"2023-09-24T11:19:08Z","userid":"mstock","version":"2"}
48.8158904;2.34381;{"id":"9084301894","camera:mount":"pole","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","timestamp":"2021-09-12T16:39:29Z","userid":"jerome92370","version":"1"}
48.8159829;2.3111996;{"id":"6652984055","camera:mount":"pole","camera:type":"dome","check_date":"2024-03-15","man_made":"surveillance","operator":"Mairie de Montrouge","operator:type":"government","surveillance":"public","surveillance:type":"camera","timestamp":"2024-03-15T15:52:50Z","userid":"Crampi","version":"3"}
48.8160258;2.3564294;{"id":"8992205022","man_made":"surveillance","mapillary":"460085088422728","source:position":"Mapillary 2018-06-28","survey:date":"2019-05-14","timestamp":"2022-10-04T22:49:06Z","userid":"kmpoppe (@ Mapillary Update)","version":"2"}
48.816051;2.3619843;{"id":"10934474386","camera:mount":"pole","camera:type":"panning","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"traffic","timestamp":"2023-05-28T17:19:08Z","userid":"jerome92370","version":"1"}
48.8160796;2.3108896;{"id":"6652984058","camera:direction":"300","camera:mount":"pole","camera:type":"fixed","man_made":"surveillance","operator":"Mairie de Montrouge","operator:type":"government","surveillance":"public","surveillance:type":"camera","timestamp":"2022-12-24T11:58:41Z","userid":"yxoc","version":"3"}
48.8160803;2.3109017;{"id":"6652984057","camera:direction":"45","camera:mount":"pole","camera:type":"fixed","man_made":"surveillance","operator":"Mairie de Montrouge","operator:type":"government","surveillance":"public","surveillance:type":"camera","timestamp":"2022-12-24T11:58:41Z","userid":"yxoc","version":"3"}
48.8160912;2.3148335;{"id":"7395311252","camera:mount":"wall","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street","timestamp":"2024-12-05T23:41:13Z","userid":"Lurikbolding","version":"2"}
48.8161086;2.3140168;{"id":"7395311253","camera:mount":"wall","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street","timestamp":"2024-12-05T23:41:13Z","userid":"Lurikbolding","version":"2"}
48.8161101;2.3115625;{"id":"6652984054","camera:mount":"street_lamp","camera:type":"dome","man_made":"surveillance","operator":"Mairie de Montrouge","operator:type":"government","operator:wikidata":"Q115918331","surveillance":"public","surveillance:type":"camera","timestamp":"2025-01-20T16:46:59Z","userid":"patman37","version":"4"}
48.8161133;2.314008;{"id":"7395311256","camera:mount":"wall","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"building","timestamp":"2020-04-12T15:27:47Z","userid":"FilG","version":"1"}
48.8161176;2.3137015;{"id":"7395311260","camera:mount":"wall","camera:type":"dome","check_date":"2024-07-16","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street","timestamp":"2024-07-16T16:21:18Z","userid":"KtzRbt","version":"2"}
48.8161276;2.3133445;{"id":"7395311262","camera:mount":"wall","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street","timestamp":"2020-08-15T08:58:16Z","userid":"yxoc","version":"2"}
48.8161286;2.3138683;{"id":"7395311258","camera:mount":"ceiling","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"building","timestamp":"2024-12-05T23:41:13Z","userid":"Lurikbolding","version":"2"}
48.8161333;2.3137427;{"id":"7395311259","camera:mount":"ceiling","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"building","timestamp":"2020-04-12T15:27:47Z","userid":"FilG","version":"1"}
48.8161338;2.3138636;{"id":"7395311257","camera:mount":"ceiling","camera:type":"dome","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"building","timestamp":"2024-12-05T23:41:13Z","userid":"Lurikbolding","version":"2"}
48.8161362;2.3133161;{"id":"7395311263","camera:mount":"wall","camera:type":"dome","man_made":"surveillance","surveillance:type":"camera","surveillance:zone":"parking","timestamp":"2020-04-12T15:27:47Z","userid":"FilG","version":"1"}
48.8161401;2.3131145;{"id":"6383147663","camera:direction":"NE","camera:mount":"pole","camera:type":"fixed","check_date":"2023-11-25","man_made":"surveillance","operator":"Cr&eacute,dit Agricole","surveillance":"outdoor","surveillance:type":"camera","surveillance:zone":"parking","timestamp":"2023-11-25T18:53:27Z","userid":"konfiot","version":"2"}
48.8161411;2.3316218;{"id":"12172102838","camera:direction":"20","camera:mount":"building","camera:type":"fixed","man_made":"surveillance","surveillance":"outdoor","surveillance:type":"camera","timestamp":"2024-09-12T11:36:51Z","userid":"abs94","version":"1"}
48.8161441;2.3126128;{"id":"968445761","camera:type":"dome","check_date":"2024-07-15","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street","timestamp":"2024-07-15T10:16:02Z","userid":"KtzRbt","version":"4"}
48.8161607;2.3119827;{"id":"7395311265","camera:mount":"wall","camera:type":"dome","check_date":"2024-05-01","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street","timestamp":"2024-05-01T10:49:16Z","userid":"Eliepse","version":"2"}
48.816173;2.3126623;{"id":"968472111","camera:mount":"wall","camera:type":"dome","check_date":"2024-07-15","man_made":"surveillance","surveillance":"public","surveillance:type":"camera","surveillance:zone":"street","timestamp":"2024-07-15T10:16:07Z","userid":"KtzRbt","version":"4"}
