lat;lon;infos
45.566836;5.92581;{"type":"public"}
45.563332;5.923809;{"type":"public"}
45.566727;5.912635;{"description":"Dôme 360 degrés","type":"public"}
45.572243;5.910414;{"type":"public"}
45.564041;5.925289;{"type":"public"}
45.563771;5.924962;{"type":"public"}
45.563305;5.924935;{"type":"public"}
45.562892;5.925112;{"type":"public"}
45.562167;5.90491;{"type":"public"}
45.559906;5.90661;{"type":"public"}
45.560015;5.903097;{"type":"public"}
45.56163;5.902689;{"type":"public"}
45.563538;5.903515;{"type":"public"}
45.563854;5.903504;{"type":"public"}
45.571057;5.920789;{"type":"public"}
45.569827;5.944953;{"type":"public"}
45.575499;5.90623;{"type":"public"}
45.574744;5.905792;{"type":"public"}
45.569318;5.9172;{"type":"public"}
45.563797;5.924208;{"type":"public"}
45.59534;5.894326;{"type":"public"}
45.560691;5.944644;{"type":"public"}
45.63921;5.875095;{"type":"public"}
45.640943;5.874215;{"type":"public"}
45.640898;5.874553;{"type":"public"}
45.641089;5.874692;{"type":"public"}
45.641239;5.874456;{"type":"public"}
45.561683;5.903192;{"type":"public"}
45.560986;5.904115;{"type":"public"}
45.585566;5.90646;{"type":"public"}
45.585806;5.906771;{"type":"public"}
45.644041;5.866233;{"name":"2 directionnelles route ","type":"public"}
45.566205;5.932574;{"name":"360","type":"public"}
45.566213;5.93045;{"name":"360","type":"public"}
45.5712;5.941527;{"name":"360","type":"public"}
45.57129;5.943024;{"name":"360","type":"public"}
45.571426;5.94108;{"name":"360 voie publique","type":"public"}
45.55958;5.901354;{"name":"360 voie publique","type":"public"}
45.564981;5.924451;{"name":"Bar","type":"public"}
45.655141;5.859806;{"name":"Caméra 360","type":"public"}
45.593237;5.900339;{"name":"caméra 360 15m de hauteur","type":"public"}
45.593568;5.900903;{"name":"Caméra d'angle 360 12 m de hauteur","type":"public"}
45.564092;5.912101;{"name":"Caméra hôpital ","type":"public"}
45.568599;5.924533;{"name":"Caméra Parc ","description":"Les caméras c'est nul","type":"public"}
45.559042;5.896021;{"name":"dircetionnelle publique","type":"public"}
45.560579;5.897765;{"name":"direction elle publique vers la route","type":"public"}
45.559433;5.895935;{"name":"directionelle publique","type":"public"}
45.5577;5.909679;{"name":"Directionnelle","type":"public"}
45.644802;5.869392;{"name":"Directionnelle - avenue du lac d'Aiguebelette","type":"public"}
45.644517;5.869687;{"name":"Directionnelle - avenue du lac d'Annecy","type":"public"}
45.643733;5.87334;{"name":"Directionnelle - avenue du lac de Côme","type":"public"}
45.646345;5.871452;{"name":"Directionnelle - avenue du lac de Garde","type":"public"}
45.644637;5.869253;{"name":"Directionnelle - avenue du lac du Bourget","type":"public"}
45.644839;5.869845;{"name":"Directionnelle - avenue du lac du Bourget","type":"public"}
45.64639;5.871795;{"name":"Directionnelle - avenue du lac du Bourget","type":"public"}
45.646126;5.871455;{"name":"Directionnelle - avenue du lac du Bourget","type":"public"}
45.64607;5.871876;{"name":"Directionnelle - avenue du lac Léman","type":"public"}
45.643519;5.873662;{"name":"Directionnelle - avenue du lac Léman","type":"public"}
45.643962;5.873512;{"name":"Directionnelle - avenue du lac Léman","type":"public"}
45.556204;5.907651;{"name":"Directionnelle - dépose minute","type":"public"}
45.559071;5.907238;{"name":"Directionnelle - rue Emmanuel Grand","type":"public"}
45.559219;5.896568;{"name":"directionnelle publique","type":"public"}
45.559088;5.907301;{"name":"Directionnelle route de Saint cassin","type":"public"}
45.558048;5.909228;{"name":"Directionnelle sens de la pente","type":"public"}
45.566351;5.919651;{"name":"Dole 360","type":"public"}
45.567264;5.921824;{"name":"Dole 360","type":"public"}
45.564059;5.91109;{"name":"dôme ","type":"public"}
45.579085;5.967706;{"name":"Dome (poteau sur le terre plein central)","type":"public"}
45.564209;5.924627;{"name":"Dôme 360","type":"public"}
45.565792;5.923358;{"name":"Dôme 360","type":"public"}
45.567264;5.918852;{"name":"Dôme 360","type":"public"}
45.563106;5.924061;{"name":"Dôme 360","type":"public"}
45.563046;5.924039;{"name":"Dôme 360","type":"public"}
45.566828;5.922672;{"name":"Dome 360","type":"public"}
45.569998;5.917227;{"name":"Dôme 360","type":"public"}
45.565833;5.919752;{"name":"Dôme 360 - Fromagerie","type":"public"}
45.566276;5.920671;{"name":"Dôme 360 - Mairie","type":"public"}
45.567872;5.919056;{"name":"Dôme 360 - Office de tourisme","description":"Dôme 360","type":"public"}
45.565945;5.921744;{"name":"Dôme 360 - Pharmacie","type":"public"}
45.565228;5.920134;{"name":"Dôme 360 - Place Saint léger","type":"public"}
45.568552;5.921553;{"name":"Dôme 360 blanc angle mur","type":"public"}
45.564011;5.921915;{"name":"Dôme 360 blanc mur","type":"public"}
45.566505;5.926475;{"name":"Dôme 360 blanc mur","type":"public"}
45.566272;5.92729;{"name":"Dôme 360 blanc mur","type":"public"}
45.570613;5.919887;{"name":"Dôme 360 blanc mur","description":"Au dessus de l'entrée de la gare","type":"public"}
45.568176;5.922505;{"name":"Dôme 360 blanc mur","type":"public"}
45.56891;5.917076;{"name":"Dôme 360 degrés","type":"public"}
45.568652;5.916669;{"name":"Dôme 360 degrès","type":"public"}
45.564066;5.911398;{"name":"Dôme 360 Hôpital Urgences","type":"public"}
45.56456;5.923133;{"name":"Dôme 360 mur blanc","description":"Au dessus de la traboule","type":"public"}
45.566021;5.925879;{"name":"Dôme 360 poteau vert","type":"public"}
45.566616;5.920617;{"name":"Entrée Sortie parking","type":"public"}
45.592557;5.919649;{"name":"Grosse caméra 360  ","type":"public"}
45.590196;5.920339;{"name":"La dynamo caméra 360","description":"Bonne visibilité","type":"public"}
45.576186;5.898623;{"name":"Mairie","type":"public"}
45.563771;5.919694;{"name":"Place caffe Dôme 360 ","type":"public"}
45.565131;5.917095;{"name":"public, derrière le portail saint dominique","type":"public"}
45.566768;5.925874;{"name":"publique","type":"public"}
45.563799;5.925791;{"name":"publique 360","type":"public"}
45.557553;5.909754;{"name":"Soucoupe 360","type":"public"}
45.556868;5.907362;{"name":"Soucoupe 360","type":"public"}
45.56391;5.915081;{"name":"Sphère orientable","type":"public"}
45.566148;5.91794;{"name":"Sphère orientable","type":"public"}
45.573445;5.910315;{"name":"Sphère orientable","type":"public"}
45.574399;5.937102;{"name":"voie publique","type":"public"}
45.574181;5.936651;{"name":"voie publique","type":"public"}
45.576652;5.939473;{"name":"voie publique","type":"public"}
45.577204;5.93825;{"name":"voie publique","type":"public"}
45.576608;5.939603;{"name":"voie publique","type":"public"}
45.577358;5.937322;{"name":"voie publique","type":"public"}
45.57726;5.937381;{"name":"Voie publique","type":"public"}
45.57648;5.943829;{"name":"voie publique","type":"public"}
45.580504;5.942284;{"name":"Voie publique","type":"public"}
45.578567;5.955786;{"name":"voie publique","type":"public"}
45.578913;5.956693;{"name":"voie publique","type":"public"}
45.580403;5.958602;{"name":"voie publique","type":"public"}
45.579502;5.960051;{"name":"Voie publique","type":"public"}
45.577884;5.939462;{"name":"Voie publique","type":"public"}
45.575514;5.936324;{"name":"voie publique ","type":"public"}
45.582231;5.944118;{"name":"voie publique ","type":"public"}
45.593951;5.886676;{"description":"Caméra pour cette route","type":"public"}
45.593268;5.886816;{"description":"Caméra pour cette route","type":"public"}
45.595107;5.878458;{"name":"Caméra 360","type":"public"}
45.568046;5.922788;{"type":"private"}
45.563031;5.924158;{"type":"private"}
45.562727;5.925096;{"type":"private"}
45.563771;5.926083;{"type":"private"}
45.562935;5.912029;{"type":"private"}
45.562742;5.911983;{"type":"private"}
45.562571;5.911388;{"type":"private"}
45.562659;5.910722;{"type":"private"}
45.563078;5.907646;{"type":"private"}
45.563471;5.902539;{"type":"private"}
45.574284;5.905361;{"type":"private"}
45.564611;5.918383;{"type":"private"}
45.645101;5.867595;{"type":"private"}
45.572281;5.916368;{"type":"private"}
45.571417;5.920708;{"type":"private"}
45.560722;5.913359;{"type":"private"}
45.560815;5.913745;{"type":"private"}
45.560919;5.91393;{"type":"private"}
45.561103;5.914228;{"type":"private"}
45.561034;5.914335;{"type":"private"}
45.561501;5.914748;{"type":"private"}
45.561909;5.914593;{"type":"private"}
45.562029;5.914673;{"type":"private"}
45.562182;5.915285;{"type":"private"}
45.561727;5.91497;{"type":"private"}
45.561942;5.915361;{"type":"private"}
45.56164;5.91542;{"type":"private"}
45.561407;5.915447;{"type":"private"}
45.561538;5.915424;{"type":"private"}
45.569847;5.920582;{"type":"private"}
45.574376;5.905012;{"type":"private"}
45.602182;5.886392;{"type":"private"}
45.602295;5.886537;{"type":"private"}
45.602404;5.886687;{"type":"private"}
45.602505;5.886843;{"type":"private"}
45.60261;5.887014;{"type":"private"}
45.602712;5.887159;{"type":"private"}
45.602798;5.887277;{"type":"private"}
45.565322;5.941557;{"type":"private"}
45.565176;5.941455;{"type":"private"}
45.574083;5.944357;{"type":"private"}
45.573497;5.943523;{"type":"private"}
45.573779;5.946055;{"type":"private"}
45.573477;5.947179;{"type":"private"}
45.572752;5.947168;{"type":"private"}
45.570279;5.948524;{"type":"private"}
45.570183;5.94883;{"type":"private"}
45.566377;5.946769;{"type":"private"}
45.567241;5.945717;{"type":"private"}
45.567333;5.945736;{"type":"private"}
45.565987;5.94422;{"type":"private"}
45.56493;5.942316;{"type":"private"}
45.564443;5.942131;{"type":"private"}
45.564167;5.943649;{"type":"private"}
45.564132;5.94361;{"type":"private"}
45.566186;5.940444;{"type":"private"}
45.566738;5.939913;{"type":"private"}
45.581596;5.906702;{"type":"private"}
45.586383;5.902861;{"type":"private"}
45.589323;5.899326;{"type":"private"}
45.589694;5.899036;{"type":"private"}
45.58948;5.898516;{"type":"private"}
45.590235;5.89829;{"type":"private"}
45.59022;5.897373;{"type":"private"}
45.593959;5.892969;{"type":"private"}
45.594244;5.89269;{"type":"private"}
45.559016;5.947906;{"type":"private"}
45.558006;5.94782;{"type":"private"}
45.557927;5.947959;{"type":"private"}
45.557198;5.948743;{"type":"private"}
45.557029;5.948909;{"type":"private"}
45.556774;5.949134;{"type":"private"}
45.55603;5.9501;{"type":"private"}
45.555023;5.950261;{"type":"private"}
45.554884;5.95047;{"type":"private"}
45.554974;5.950845;{"type":"private"}
45.554603;5.951328;{"type":"private"}
45.555027;5.951291;{"type":"private"}
45.554896;5.951436;{"type":"private"}
45.554715;5.951763;{"type":"private"}
45.55446;5.95158;{"type":"private"}
45.55554;5.954968;{"type":"private"}
45.557132;5.953329;{"type":"private"}
45.559185;5.950813;{"type":"private"}
45.559519;5.951149;{"type":"private"}
45.561116;5.949341;{"type":"private"}
45.560625;5.949687;{"type":"private"}
45.645353;5.865514;{"type":"private"}
45.645207;5.865578;{"type":"private"}
45.645222;5.864956;{"type":"private"}
45.645098;5.865031;{"type":"private"}
45.569821;5.920625;{"name":" 1carosserie","type":"private"}
45.570991;5.920892;{"name":"1ere étage boîte rouge droite escalier ","type":"private"}
45.57134;5.920956;{"name":"2 cameras","type":"private"}
45.571896;5.920982;{"name":"2 cameras ","type":"private"}
45.574436;5.906466;{"name":"360","type":"private"}
45.57144;5.919276;{"name":"Accès gare","type":"private"}
45.601773;5.888908;{"name":"Autoroute","type":"private"}
45.567657;5.922712;{"name":"Banque 1","type":"private"}
45.567617;5.922818;{"name":"Banque 2","type":"private"}
45.564628;5.919437;{"name":"Banque intérieur","type":"private"}
45.563536;5.921693;{"name":"Bar","type":"private"}
45.638415;5.873415;{"name":"Bord baiment EDF","type":"private"}
45.637425;5.872841;{"name":"Bord bâtiment EDF","type":"private"}
45.566319;5.919079;{"name":"Bord Fnac","type":"private"}
45.59365;5.898827;{"name":"caméra 360 6m de hauteu","type":"private"}
